,name,title,abstract,keywords,category,lang
10,Erithrological,,"Coronary heart disease (CHD) caused by atherosclerosis has high mortality and morbidity worldwide. As of 2013, there were 1,492,909 CHD patients in Indonesia of which 85.2% of the patients were in the productive age. Hypercholesterolemia, caused by high levels of low density lipoproteins (LDL) in plasma, is the major cause of atherosclerosis. Plasma LDL binds to the LDL receptor (LDLR) for internalization and degradation, followed by recycling of LDLR to the cell surface. Proprotein convertase subtilisin kexin 9 (PCSK9) is a protease that binds to LDLR and reroutes it towards the lysozyme for degradation. Complete loss of function of PCSK9 showed no adverse effects in various individuals. We hypothesized that inhibition of PCSK9 can help lower plasma LDL level by preventing LDLR degradation, thus being a potential treatment of hypercholesterolemia. Synthetic drugs commonly used to treat hypercholesterolemia have unwanted side effects including liver damage and kidney failure, due to an increased risk in coronary calcification. Consumption of several fruits and vegetables are known to lower plasma LDL. The ability of natural ligands obtained from these sources to inhibit PCSK9 will be investigated. 3D structure of the ligands will be obtained and their interaction with the active site of PCSK9 will be investigated. Parameters to be examined include their binding affinity with PCSK9 via docking simulation and toxicity. The results will be compared with synthetic hypercholesterolemia drugs available in the market. It is expected that the natural ligands can be a potential alternative to treat hypercholesterolemia.",,Obat-obatan/ Terapi kesehatan,English
11,BIOFORMITS,,"Pada tahun 2010, Indonesia berada pada peringkat kedua penghasil sampah plastik terbesar di dunia. Diantara 3,22 juta ton sampah yang dihasilkan, sebanyak 0,48-1,29 juta mencemari lautan. Kantong plastik merupakan plastik jenis LDPE (Low Density Polyethylene) dan paling sering ditemukan. Bakteri Pseudomonas aeruginosa PAO1 dinilai mampu mendegradasi plastik LDPE paling maksimal yakni mampu mengurangi berat plastik sebesar 20% dan menurunkan nilai Carbon Index (CI) sebesar 80%. Kemampuan bakteri dalam mendegradasi plastik LDPE difasilitasi oleh kehadiran biofilm yang akan menempel pada permukaan plastik dan mengurangi hidrofobisitas polimer plastik LDPE. Pembentukan biofilm diintervensi oleh sistem quorum sensing (QS) yang memiliki empat jalur persinyalan yakni sistem Las, Rhl, PQS, dan IQS. Sistem Las memiliki gen pengatur lasR untuk mengkode protein LasR dan sintase LasI yang terlibat dalam sintesis molekul sinyal 3-oxo-C12-HSL yang berguna untuk pembentukan produk biofilm. Terpenoid merupakan senyawa yang berpotensi menghambat aktivitas QS dengan memblok jalur persinyalan Las. Penelitian ini bertujuan untuk mengetahui senyawa terpenoid yang paling berpotensi menghambat mekanisme quorum sensing dalam pembentukan biofilm Pseudomonas aeruginosa PAO1 dalam proses degradasi plastik LDPE. Penelitian dilakukan dengan menskrining senyawa terpenoid khususnya golongan sesterterpenoid yakni manoalide, secomanoalide, monoalide monoacetate sebagai ligan uji dan protein LasR sebagai target. Selanjutnya dilakukan molecular docking untuk mengetahui interaksi antarmolekul.","LDPE, Sistem Las, Quorum Sensing, Terpenoid, Pseudomonas Aeruginosa PAO1",Lingkungan,Indonesia
12,BIOLUMVITO - UPI,,"Polusi cahaya merupakan salah satu dampak yang dihasilkan dari penggunaan cahaya artifisial yang berlebih yang menyebabkan dampak buruk pada ekosistem sekitar, selain itu juga polusi cahaya dapat mengganggu siklus alami hidup hewan dan tumbuhan, dan juga dapat mengganggu biodiversitas juga perubahan iklim. Selain itu, penggunaan listrik berlebih yang merupakan sumber lampu dapat menyala merupakan penggunaan dari pembangkit listrik yang berasal dari bahan bakar batu bara. Penggunaan batu bara sebagai bahan baku pembangkit listrik sangat berdampak pada polusi udara yang dapat menyebabkan penyakit pernapasan pada manusia. Dari tahun 2009 hingga 2017, jumlah penggunaan listrik perkapita terus bertambah dari 592-1012 kwh.  Bioluminesensi merupakan salah satu solusi alternatif sintetik yang dapat digunakan guna menurunkan polusi cahaya yang berlebihan. Penelitian ini bertujuan untuk menyisipkan gen bioluminesensi Vibrio fischeri ke dalam bakteri Azotobacter sp. pada pupuk hayati sehingga tumbuhan dapat memendarkan cahaya dan dapat mengurangi penggunaan listrik. Pemanfaatan gen bioluminescence Vibrio fischeri (gen LuxA, LuxB, LuxC, LuxD, LuxE, LuxG, LuxR, dan LuxI) yang kemudian akan disisipkan pada plasmid pPL2lux bersamaan dengan enzim luciferase untuk ditransformasikan pada bakteri Azotobacter sp pada pupuk hayati. Enzim luciferase disisipkan beserta promoter dan ditambahkan dengan bahan kimia luciferin untuk menghasilkan cahaya melalui oksidasi flavin mononukleotida tereduksi dan aldehida rantai panjang oleh oksigen diatomik. Sekuen gen yang digunakan didapat dari sekuen yang dapat diakses di situs NCBI. Hasil dari penelitian diharapkan dapat menjadi solusi untuk mengurangi penggunaan energi listrik dan polusi cahaya menggunakan energi yang ramah lingkungan.",,Energi,Indonesia
13,EBerekayasa,,"Non-Hodgkin Lymphoma (NHL) adalah jenis kanker yang menyerang sistem limfatik dan biasa ditemukan di kelenjar getah bening. NHL merupakan jenis kanker dengan prevalensi tinggi di Indonesia dengan 16.125 kasus baru pada 2020. Pengobatan berorientasi rekayasa telah banyak dikembangkan untuk menyembuhkan NHL. Salah satu metode yang digunakan adalah terapi T-Cell Receptor (terapi TCR). Terapi TCR merekayasa T-Cell sebagai salah satu bentuk pertahanan oleh sistem imun dalam tubuh manusia untuk membunuh sel kanker. Rekayasa tersebut dilakukan karena metode pengenalan karakteristik sel kanker yang berbeda dari sel normal cukup sulit untuk dilakukan. Terapi TCR merekayasa bagian reseptor dari T-cell sehingga afinitas dari sel tersebut menjadi lebih tinggi dan spesifik terhadap sel kanker. Akan tetapi, terapi TCR memiliki risiko toksisitas pada pasien akibat kesalahan pengenalan antigen pada sel di jaringan lain. Implementasi suicide gene pada T-cell dapat menjadi salah satu upaya untuk mengurangi toksisitas pada terapi TCR. Suicide gene adalah molekul yang dapat membantu destruksi sel secara selektif sehingga dapat meregulasi T-Cell secara optimal. Penelitian dilakukan untuk mencari kandidat suicide gene yang dapat diimplementasikan pada terapi TCR untuk menyembuhkan NHL. Studi literatur mengenai kandidat suicide gene yang sudah ditemukan dan cocok dengan terapi TCR akan dievaluasi kecocokannya dengan NHL. Kemudian, dilakukan uji afinitas terhadap terapi TCR yang telah memiliki suicide gene dengan NHL. Terakhir, akan dilakukan uji efektivitas untuk menentukan tingkat keberhasilan kandidat suicide gene dalam menekan toksisitas terapi TCR. Sehingga, diharapkan diperoleh luaran berupa kandidat suicide gene untuk diimplementasikan pada terapi TCR dengan toksisitas yang relatif rendah.",,Obat-obatan/ Terapi kesehatan,Indonesia
14,WSF-Bilimbi,,"Pityrosporum ovale merupakan flora normal yang ada di kulit kepala, akan tetapi berbagai keadaan seperti suhu, kelembapan, kadar minyak yang tinggi, dan penurunan imunitas tubuh dapat memicu pertumbuhan jamur Pityrosporum ovale. Banyaknya populasi Pityrosporum ovale memicu terjadinya ketombe yang ditandai dengan adanya skuama berwarna putih keabu-abuan pada kulit kepala dan rambut dengan jumlah  yang bervariasi. Skuama berwarna putih keabu-abuan umumnya disebabkan oleh pengelupasan kulit yang fisiologis pada lapisan stratum korneum epidermis secara  berlebihan. Belimbing wuluh (Averrhoa bilimbi) merupakan tumbuhan alami yang memiliki banyak kandungan senyawa seperti saponin, tanin, kalsium oksalat, flavonoid, asam format, peroksida dan kalium sitrat.  Kandungan senyawa metabolit pada belimbing wuluh (Averrhoa bilimbi)  memiliki manfaat sebagai antijamur yang dapat menghambat petumbuhan Pityrosporum ovale sebagai agen penyebab ketombe.  Penelitian ini bertujuan untuk melakukan eksplorasi pada senyawa metabolit belimbing wuluh (Averrhoa bilimbi)  yang dilakukan secara in silico dengan dimulai studi literatur terkait senyawa metabolit pada belimbing wuluh yang terbukti memiliki aktivitas antijamur, kemudian dilanjutkan uji molecular docking pada masing-masing senyawa target yang nantinya diperoleh paling  berpotensi sebagai penghambat pertumbuhan Pityrosporum ovale berdasarkan afinitas dan interaksinya.",,Obat-obatan/ Terapi kesehatan,Indonesia
15,TP Unimus,,"Terdapat alternatif pangan yang membantu meningkatkan imun dalam tubuh, salah satunya adalah Jahe. Jahe (Zingiber officinale) adalah tanaman rempah yang bermanfaat dalam kehidupan sehari-hari juga sebagai tanaman obat. Akan tetapi, jahe rentan menjadi tempat tumbuhnya kapang-kapang pembawa mikotoksin. Mikotoksin adalah senyawa alami yang melekat pada bahan pangan seperti beras, jagung, gandum dan bersifat racun atau toksik sehingga dapat menurunkan imun tubuh. Lima jenis mikotoksin sering mengkontaminasi adalah aflatoksin, okratoksin A, zearalenon, kelompok trikotesena dan fumonisin. Terdapat 12 cendawan ditemukan pada jahe di Oman dengan kelembaban standar yang semuanya berpotensi memproduksi mikotoksin yang berbahaya untuk dikonsumsi manusia. Kontaminasi aflatoksin yang umumnya terjadi pada produk obat herbal atau bahan baku tumbuhan obat karena pengeringan yang tidak sempurna pada saat proses penyiapan bahan atau karena proses penyimpanan yang tidak bagus. Oleh karena itu, dibutuhkan perhatian khusus untuk mengurangi resiko kontaminasi mikotoksin pada proses sebelum maupun sesudah panen, seperti pemanenan yang tepat, penanganan pascapanen yang baik, pembuangan kotoran, dan pencucian dapat menurunkan tingkat kontaminan pada bahan pangan. Dengan mengurangi resiko kontaminasi mikotoksin pada jahe, maka dapat dihasilkan produk olahan jahe yang dapat dikonsumsi sebagai peningkat imun tanpa khawatir adanya bahaya mikotoksin bagi tubuh.",,Pangan & Nutrisi,Indonesia
16,MICRODEGRADATION TEAM,,"Berdasarkan data Asosiasi Industri Plastik Indonesia dan Badan Pusat Statistik menunjukkan bahwa sampah plastik di Indonesia mencapai 64 juta ton per tahunnya. Sampah plastik merupakan polimer sintetik yang tidak mudah diuraikan lingkungan, dimana jenis yang seringkali ditemukan adalah Polyethylene Terephthalate (PET). Metode penanganan limbah PET sebagian besar hanya memecah polimer PET menjadi lebih kecil, yang disebut mikroplastik. Bahaya mikroplastik adalah ukurannya yang sangat kecil, sehingga besar kemungkinan akan tertelan makhluk hidup. Mikroplastik tidak dapat tercerna sehingga akan terakumulasi dalam tubuh dan dapat menjadi racun. Untuk mengatasi permasalahan tersebut, diperlukan suatu penanganan menggunakan metode biodegradasi dengan memanfaatkan bakteri dan jamur. Pada penelitian sebelumnya, disebutkan bahwa bakteri Pseudomonas aeruginosa memiliki kemampuan mendegradasi polimer plastik pada permukaan saja sehingga memerlukan peran jamur Aspergillus terreus untuk mendepolimerisasi polimer plastik. Bakteri lain yang juga dapat mendegradasi polimer plastik yaitu Ideonella sakaiensis. Pada tahap akhir depolimerisasi PET melalui hidrolisis, dihasilkan asam tereftalat dan etilen glikol yang dijadikan bahan metabolisme Ideonella sakaiensis. Penelitian dilakukan menggunakan metode molecular docking untuk mengetahui nilai binding affinity dari enzim yang dihasilkan ketiga organisme tersebut dengan struktur kimia PET pada plastik menggunakan software PyRx yang sebelumnya dipreparasikan dengan PyMOL. Penentuan nilai toksisitas melalui server pkCSM untuk mengantisipasi dampak negatif dari penggunaan enzim-enzim tersebut, kemudian divisualisasikan secara 2D melalui software Discovery Studio. Metabolisme dari tiap enzim dianalisis menggunakan MetaRouter serta database dari KEGG. Penelitian ini bertujuan untuk mengetahui enzim yang paling potensial diantara Pseudomonas aeruginosa, Aspergillus terreus dan Ideonella sakaiensis dalam mendegradasi limbah plastik jenis PET.",,Lingkungan,Indonesia
17,Flavoquinon,,"Hipertensi merupakan penyebab utama penyakit kardiovaskular dan kematian dini di seluruh dunia. Prevalensi hipertensi di Indonesia sendiri pada tahun 2018 mencapai 31.6% untuk kelompok usia di atas 25 tahun. Sementara itu, penggunaan captopril sebagai salah satu pengobatan hipertensi masih menimbulkan efek samping sehingga penemuan bahan herbal sebagai alternatif antihipertensi masih terus dikembangkan. Pada penelitian sebelumnya, telah diketahui bahwa flavonoid dan antrakuinon dari Mengkudu memiliki potensi yang signifikan sebagai antihipertensi, akan tetapi penelitian untuk menguji efektifitas dari penggunaan keduanya masih belum dikembangkan. Pada penelitian ini dilakukan optimasi afinitas flavonoid dan antrakuinon terhadap protein target ACE-1 secara bersamaan melalui analisis in silico. Keunggulan dari penelitian ini adalah penggunaan dua jenis ligan dari dua golongan senyawa yang berbeda, namun masing-masing berpotensi menjadi inhibitor ACE yang efektif sehingga diharapkan penggabungan keduanya dapat memberikan dampak yang lebih optimal. Penelitian ini dilakukan dengan mengunduh data masing-masing ligan dari Pubchem dengan format (.sdf) dan dikonversi menjadi format (.pdb) dengan menggunakan PyMOL. Setelah itu, dilanjutkan dengan preparasi protein target ACE-1 yang diunduh dari Protein Data Bank dengan menggunakan PyMOL dan tahapan terakhir adalah analisis penambatan molekuler (molecular docking) dengan menggunakan PyRx. Hasil dari analisis molecular docking kemudian divisualisasi dengan menggunakan PyMOL untuk mengetahui keakuratan dan efektivitas dari penambatan kedua senyawa tersebut pada protein target ACE-1. Hasil dari penelitian yang diperoleh dapat menjadi bahan referensi baru karena sejauh ini belum terdapat banyak penelitian yang menguji efektivitas dari kedua senyawa potensial tersebut secara bersamaan sebagai kandidat antihipertensi.","Hipertensi, Optimasi, ACE-1, Flavonoid, Antrakuinon",Obat-obatan/ Terapi kesehatan,Indonesia
18,Fake Team Diponegoro,,"Kehidupan manusia di alam tidak dapat terlepas dari berbagai jenis komunitas mikroba, termasuk biofilm. Biofilm merupakan kumpulan sel mikroba yang melekat pada substrat, baik jaringan tubuh maupun bahan abiotik. Hal  ini salah satunya dikarenakan adanya produksi Extracellular Polymeric Substances (EPS) yang mengandung protein dan polisakarida. Dengan adanya EPS, adhesi mikroba pada permukaan semakin kuat, dan di dalam EPS, mikroba dapat pembelahan dengan cepat, menyebabkan sel di dalam biofilm semakin padat. Biofilm pada gigi disebut sebagai dental plak. Bakteri Streptococcus mutans merupakan penyebab utama adanya plak dan karies gigi. Sebanyak 90% kasus karies gigi di Indonesia menyerang populasi anak balita. Oleh karena itu, diperlukan solusi untuk mengatasi biofilm ini, salah satunya adalah dengan memanfaatkan senyawa metabolit yang mampu menghambat pembentukan biofilm. Beberapa sumber metabolit yang masih belum banyak dieksplorasi adalah yang bersumber dari organisme laut yaitu Rhizopora mucronata, Lycoalga epidendrum, Cosmopora sp. dan Micromonospora sp. Penghambatan biofilm pada gigi dilakukan dengan menghambat sintesis, menginaktivasi atau mendegradasi enzim, mereaksikan molekul sinyal dan analog reseptor, atau memblokir kaskade transduksi dari molekul sinyal atau quorum sensing. Melalui penelitian ini, diharapkan dapat ditemukan senyawa metabolit potensial yang bertindak sebagai antibiofilm. Penelitian berdasarkan prinsip bioinformatika dimulai dengan pencarian beberapa senyawa metabolit yang memiliki kemampuan sebagai antibakteri melalui studi literatur, diantaranya lynamicin, aquastatin, thiocoraline, dan pestalotiopsone. Keempat senyawa ini nantinya divisualisasikan menggunakan Chimera atau Pymol dan didapatkan ligand. Untuk mengetahui nilai energi pengikatan atau binding affinity dilakukan docking menggunakan aplikasi PyRx, Autodock ataupun Maestro. Hasilnya dianalisis dan diketahui senyawa metabolit potensial sebagai antibiofilm.",,Obat-obatan/ Terapi kesehatan,Indonesia
19,DelacGene - UPI,,"Pencemaran air sungai oleh limbah industri pabrik tekstil ditandai dengan perubahan warna perairan menjadi keruh sehingga menggangu ekosistem sungai dan kematian biota air. Sekitar 1.500 industri disepanjang sungai Citarum menghasilkan limbah dengan potensi mencapai 2.800 ton perhari. Dalam limbah tekstil terdapat gugus kromofor sebagai pembawa warna diantaranya, gugus etilen, karbon nitrogen, karbonil, azo, nitro, dan nitroso. Degredasi kromofor dapat dilakukan oleh enzim lakase menghasilkan senyawa nonkarsinogenik  -OH dan N2. Zat warna tahan terhadap degredasi oleh bakteri aerobik dan menghasilkan produk karsinogenik oleh bakteri anaerobik, sedangkan menggunakan jamur perlu dikembangkan lebih lanjut mengenai keamanan lingkungan. Penelitian ini bertujuan untuk mengkontruksi vektor pembawa gen lakase dekolorasi yang diinsertasikan pada alga sebagai fikoremediator limbah industri pabrik tekstil. Lakase bekerja dengan mengoksidasi gugus kromofor sebagai substrat menghasilkan elektron yang disimpan dan ditransfer melalui gugus tembaga ke molekul O2 lalu direduksi menjadi H2O. Oksidasi kromofor menghasilkan molekul nitrogen, mencegah pembentukan amina aromatik yang berpotensi karsinogenik. Gen Lac Pl pengkode enzim lakase dari Pleurotus ostreatus diklon ke dalam vektor pGEX-6P-1 menggunakan enzim retriksi BamH1 dan Xho1. Pada ujung C-terminal ditambahkan HA-tag untuk deteksi lakase dengan chemiluminescence dan 8xHis-tag untuk pemurnian lakase. Kontruksi vektor rekombinan pembawa gen lakase kemudian diinsertasi pada Chlamydomonas reinhardtii untuk diekspresikan. Selanjutnya untuk uji keberhasilan desain kontruksi vektor dan simulasi kloning gen dilakukan analisis menggunakan software SnapGene. Sekuen gen yang digunakan diperoleh dari Biobrick yang diakses dari situs IGem. Hasil studi ini diharapkan menjadi acuan penelitian mengenai agen bioremediator dengan menggunakan alga sebagai inang dalam upaya mengurangi produk karsinogenik dan pelestarian ekosistem sungai.",,Lingkungan,Indonesia
20,DipoInfor,,"Indonesia merupakan negara dengan luas wilayah laut hingga 5,8 juta meter2 dengan 8.500 spesies ikan dan 555 spesies rumput laut serta 950 terumbu karang. Diperkirakan sumber daya laut Indonesia memiliki potensi hingga 12,54 juta ton namun pemanfaatannya baru berkisar 5,71 juta ton pertahun. Pemanfaatan sumber daya laut perlu untuk terus ditingkatkan melalui berbagai macam produk yang dapat bermanfaat. Salah satu pemanfaatan sumber daya laut dapat melalui produk kecantikan kulit untuk mengatasi permasalahan pada kulit wajah. Permasalahan pada kulit wajah seperti berjerawat, kulit berminyak, dan inflamasi merupakan masalah yang sangat umum dihadapi bagi setiap individu. Permasalahan pada kulit wajah umumnya disebabkan oleh mikroorganisme seperti Propionibacterium acnes, Stapylococcus epidermidis, dan Malassezia furfur. Beberapa mikroorganisme tersebut mengeksresikan senyawa metabolit yang berdampak negatif pada kondisi kesehatan kulit dan wajah. Selain itu, ketidak seimbangan mikrobioma pada kulit wajah juga dapat menyebakan timbulnya berbagai permasalahan pada kulit wajah. Hingga saat ini, banyak ditemukan produk kecantikan yang mengandung berbagai macam senyawa dengan pola pendekatan yang beragam pula untuk memperoleh produk kecantikan dengan kandungan dan pola pendekatan yang terbaik melalui bioprospeksi. Bioprospeksi senyawa anti mikroba penting untuk terus dilakukan mengingat banyaknya kasus resistensi senyawa anti mikroba terhadap mikroba penyebab masalah pada kulit wajah. Berbagai senyawa seperti oligochitosan, retinol, saponin, dan isoretinoin yang bersumber dari biota laut berpotensi untuk mengatasi permasalahan pada kulit wajah. Adapun beberapa metode yang dilakukan adalah permodelan protein, molecular docking, uji afinitas, dan pengujian keamanan bahan potensial dilakukan untuk memperoleh senyawa bioaktif yang mampu mengatasi permasalahan pada kulit wajah melalui pemanfaatan sumber daya laut.",,Obat-obatan/ Terapi kesehatan,Indonesia
21,Tricoli - UPI,,"Seiring dengan pertumbuhan ekonomi kebutuhan akan energi meningkat, menyebabkan cadangan energi tidak terbarukan menipis. Kebutuhan energi tahun 2020 sebesar 290 mtoe, meningkat dari posisi dua tahun lalu sebesar 185 mtoe atau 1% dari kebutuhan konsumsi dunia. Alternatif bahan bakar fosil seperti biodiesel yang dihasilkan dari biomassa limbah organik menjadi primadona, solusi ini dapat mengurangi penumpukan sampah organik yang juga berakibat pada pemanasan global. Biodiesel dihasilkan dari proses transesterifikasi trigliserida dengan alkohol membentuk ester dan gliserol. Tujuan dari penelitian ini yaitu mengkonstruksi jalur biosintesis trigliserida yang merupakan senyawa antara biodiesel dengan menggabungkan gen-gen yang terlibat dalam proses sintesis trigliserida ke dalam Escherichia coli menggunakan sampah organik sebagai substrat. Trigliserida terbentuk dalam proses esterifikasi gliserol yang direaksikan dengan tiga asam lemak. Asetil Ko-A yang dihasilkan dari proses oksidasi asam piruvat kemudian masuk ke dalam proses lipogenesis, lalu diubah menjadi asam lemak yang disintesis dengan bantuan enzim FabH2. Kemudian oleh LPAAT-A dan DGAT-1-2, penggabungan asam lemak kedua dan ketiga dari gliserol pada lingkungan dikatalisis,sehingga akhirnya terbentuk trigliserida. Pada penelitian ini kami menggabungkan fragmen DNA penyandi gen FabH2 dari Bacillus subtilis, LPAAT-A, dan DGAT-1-2 dari Elaeies gueenensis di dalam vektor pPSU2 yang diekspresikan di dalam sel-sel E. coli DH5-? dengan gen lacZ untuk seleksi biru-putih. Ketiga gen diklon ke dalam vektor yang dikendalikan oleh lac promoter menggunakan enzim retriksi HindIII dan EcoRI. Sikuen gen yang digunakan didapat dari biobrick yang dapat diakses di situs iGEM. Hasil penelitian diharapkan dengan terbentuknya trigliserida dapat digunakan sebagai senyawa antara biodiesel serta dapat mengurangi populasi sampah organik.",,Lingkungan,Indonesia
22,EUNOIA,,"Pandemi COVID 19 masih berlangsung hingga kini dan belum ada pengobatan yang adekuat untuk mengatasi virus SARS-COV2. Replikasi SARS-COV2 yang menempel di reseptor ACE 2 pada tubuh manusia dapat mengaktifkan jalur pensinyalan pro-inflamatory NF-kB yang memicu mediator inflamasi IFN-?, IFN-?, IL-1 dan IL-6, hingga badai sitokin yang mengakibatkan terjadinya ARDS, gejala depresi serta gangguan organ tubuh lainnya. Terapi untuk mencegah replikasi virus, anti-inflamasi dan antidepresi diperlukan untuk menghilangkan gejala gangguan respirasi, depresi dan menyembuhkan pasien yang terinfeksi virus SARS-COV2. Kunyit merupakan tanaman obat asli dari Asia Tenggara yang sudah digunakan sejak zaman kuno sebagai bahan baku obat tradisional karena tanaman ini dikenal bermanfaat sebagai penyejuk, pengering, pembersih, dan lain-lain. Senyawa Curcumin yang terkandung pada kunyit berpotensi sebagai antivirus, anti-inflamasi dan antidepresi. Tujuan penulisan studi literatur ini untuk membuktikan potensi senyawa curcumin pada kunyit di era COVID 19 sebagai salah satu tanaman herbal di Indonesia yang diteliti memiliki banyak manfaat.Metode penelitian ini menggunakan pencarian literatur online dari electronic database Pubmed, Science Direct, dan Googgle Schoolar. Hasil studi literatur menunjukkan curcumin dapat mensupresi jalur pensinyalan transkripsi NF-kB yang penting untuk produksi sitokin proinflamasi, dan reaktan fase akut lainnya. Curcumin juga dapat memodulasi apoptosis melalui jalur p38 MAPK, dan mengatur ekspresi protein terkait sinaps seperti brain-derived neurotrophic factor, PSD-95, dan Synaptophysin untuk melindungi dan memelihara integritas fungsional neuron sebagai antidepresan. Ikatan curcumin dengan reseptor ACE 2 yang lebih baik dan peningkatan produksi interferon oleh curcumin berpotensi sebagai antiviral untuk mencegah replikasi SARS COV-2.","anti-inflamasi, antidepresi, antivirus, curcumin, covid 19/ SARS-COV2",Obat-obatan/ Terapi kesehatan,Indonesia
23,BIOMER_UPI,,"Merkuri merupakan salah satu jenis polutan yang sangat beracun bagi semua makhluk hidup dan tersebar di atmosfer, litosfer, dan permukaan air baik dalam bentuk unsur tunggal ataupun senyawa kompleks. Perkiraan emisi merkuri global tahunan dari sumber antropogenik adalah sekitar 2220 metrik ton per tahun. Bioremediasi logam merkuri merupakan upaya penanggulangan pencemaran merkuri yang beracun di lingkungan menggunakan bakteri yang memiliki gen-gen yang resisten terhadap merkuri untuk mendegradasi merkuri beracun menjadi bentuk yang kurang beracun. Penelitian ini bertujuan untuk membuat sistem bioremediasi logam merkuri menggunakan gen-gen pereduksi merkuri yang ditransformasikan pada bakteri Escherichia coli. Operon mer (merR, merP, merT, merB dan merA) yang didapatkan dari Bacillus sp. digunakan untuk mereduksi ion Hg2+ menjadi ion Hg0 volatil dengan menggunakan reporter gene ungu dan biru. Sel akan berwarna ungu jika terdapat ion Hg2+ dan metilmerkuri (R-Hg) di lingkungan perairan dan akan berwarna biru jika ion Hg2+ berhasil tereduksi menjadi ion Hg0 volatil yang relatif kurang beracun bagi lingkungan. Gen-gen yang digunakan dalam proses bioremediasi ini akan disisipkan pada vektor pSB1C3 dan ditransformasikan ke dalam bakteri Escherichia coli. Semua part yang digunakan dalam sistem bioremediasi diperoleh dari database Brick yang dapat di akses pada situs iGem. Hasil dari penelitian ini diharapkan dapat menjadi solusi penurunan polusi merkuri yang lebih praktis dan ramah lingkungan karena memanfaatkan mikroorganisme sebagai fasilitator pereduksi merkuri.",,Lingkungan,Indonesia
24,getEXTREME,,"Extremophiles are “treasure trove” of novel biologically active molecules with unique properties that can be used for wide range of biotechnological processes, notably those of required extreme temperature, pH, salinity, and pressure for efficient running in the most cost-effective manner. Most bioprospecting campaigns in exploitation of ecological and biotechnological potentials of these organisms to discover new thermostable enzyme candidates, for instance, biotechnologists are searching for the associated genes through manual mining the genome sequences. However, this workflow has been extremely challenging due to being time consuming, highly dependent on the availability of well-curated database and appropriate bioinformatic tools. Herewith, we propose the initial prototype of GetEXTREME, a pioneering of integrated database of extremophilic and extremotolerant microorganisms alongside a webserver which allow rapid and fully-automated detection, annotation and analyses of sets of genes associated with survival strategies of these microorganisms under harsh environmental conditions prevail in extreme habitats as well as the genes related to their ‘gifted’ traits to produce a whole range of useful compounds for many bio-industrial applications, including thermostable enzymes, osmolytes, polymeric substances, antibiotics, anticancer drugs, industrial pigments and many other highly valuable bioproducts. The input, whole genome sequence, will be aligned and the level of similarity percentage will be determined using BLASTN tool against its most closely related gene and/or gene clusters held in the well-curated GetEXTREME database. This platform will consolidate our understanding about the biological basis of environmental adaptation and reveal further biotechnological applications of these remarkable creatures from the lens of genomics and bioinformatics.",,Lingkungan,English
25,BIKOKA,,"Kokain merupakan narkotika yang sering disalahgunakan di banyak negara selama beberapa tahun terakhir sehingga diperlukan peningkatan upaya penindakan. Teknik deteksi kokain secara konvensional di lapangan memiliki beberapa kekurangan, seperti kurang akurat dan memerlukan uji laboratorium lanjutan. Alat deteksi yang cepat dan akurat diperlukan dalam upaya penindakan yang tepat sasaran. Biosensor elektrokimia dapat digunakan untuk memperoleh informasi tentang konsentrasi analit berdasarkan perubahan arus listrik dari sel elektrokimia dengan bantuan enzim. Biosensor elektrokimia memiliki beberapa keungulan karena dapat mendeteksi secara akurat keberadaan analit dalam konsentrasi yang rendah dengan waktu yang singkat. Proses hidrolisis dan oksidasi kokain secara berantai dapat menghasilkan sinyal elektrik pada sel elektrokimia. Proses tersebut dikatalisis oleh dua enzim yaitu kokain esterase dan methlyecgonone reductase. Oleh karena itu, kokain dapat dideteksi dengan biosensor elektrokimia dengan memanfaatkan reaksi enzimatik berantai cocaine esterase-methlyecgonone reductase. Penelitian ini bertujuan mengetahui potensi kedua enzim tersebut untuk digunakan sebagai biosensor kokain berdasarkan interaksi ligan dengan enzim dan kestabilan struktur enzim. Metode penelitian dimulai dengan studi literatur untuk mendapatkan informasi kedua enzim tersebut seperti aktivitas enzim, urutan asam amino enzim, dan struktur 3D enzim yang bersumber dari literatur ilmiah dan database protein. Metode in silico dilakukan setelah struktur 3D enzim tipe liar dan beberapa enzim mutan didapat. Analisis docking molekuler enzim terhadap ligan normalnya dilakukan sehingga diketahui nilai binding affinity-nya. Analisis dilanjutkan dengan simulasi dinamika molekuler untuk mendapatkan parameter protein structure compactness. Rangkaian analisis tersebut dilaksanakan untuk merancang biosensor kokain yang efektif dengan memilih enzim yang stabil tanpa mengurangi aktivitas enzim berdasarkan hasil prediksi.",,Diagnostik,Indonesia
